标题,室数,厅数,卫数,面积,朝向,楼层数,建造时间,小区,行政区,街道,门牌号,单价,总价
南北通透 3室2厅 企业力荐好房诚意出售,3,2,2,122.75㎡,南北,低层(共46层),2018年建造,金科城,洪山,欢乐谷,仁和路98号,12795元/㎡,157万
坐标城，南北精装二室，中间楼层 ，看房有钥匙,2,2,1,92.62㎡,南北,中层(共18层),2009年建造,光谷坐标城,洪山,光谷软件园,关山大道519号,18296元/㎡,169万
汉阳三环内双地铁单价14500精装交付准现房,3,2,2,98㎡,南,,,禹洲新希望雍禧兰台(新房),汉阳,四新,四新南路与新华园二路交汇处,12399元/㎡,122万
南北通透 3室2厅 精装修,3,2,1,109.3㎡,南北,中层(共56层),2020年建造,招商一江璟城(北区),青山,红钢城,建设六路5号,15882元/㎡,174万
正南 3室2厅 精装修,3,2,2,123.74㎡,南,低层(共32层),2013年建造,观庭金色世家(B区),洪山,白沙洲,白沙五路2号,8217元/㎡,102万
江汉区福星华府东区福星大兴学校正南性价比高 2室2厅 精装修,2,2,1,87㎡,南,低层(共45层),2016年建造,福星华府(东区),江汉,杨汊湖,新湾路23号,13663元/㎡,118万
汉口二环一号线轻轨口千禧城旁国企现房单价1.3送车位20上车,2,2,1,86㎡,南北,,,武汉城建汉樾台,硚口,古田,古田四路与长安路交叉口西侧（湖北警官学院北区旁）,13937元/㎡,120万
智苑小区 必看好房 有证 可贷款可过户 价格狂甩周边几条街的,3,2,1,89.4㎡,南,低层(共33层),2018年建造,智苑小区,洪山,光谷东,流港路100号,7028元/㎡,63万
崇安鑫城 友谊路轻轨站旁 精装两室 小区有绿化 大阳台 老证,2,2,1,94.59㎡,南北,中层(共21层),2006年建造,崇安鑫城,江汉,前进/江汉,友谊路126号,16167元/㎡,153万
保利庭瑞阅江台滨江新品     3室2厅2卫 130m,3,2,2,130㎡,南,,,保利庭瑞阅江台·滨江新品,硚口,古田,琴台大道与玉龙路交汇处,16532元/㎡,215万
正南 3室2厅 精装修,3,2,1,87.48㎡,南,高层(共34层),2015年建造,佳兆业金域天下(三期),洪山,白沙洲,烽胜路36号,15402元/㎡,135万
华润一期北区 精装满二 中间楼层采光好 挂东头大两房,2,2,1,82㎡,南北,中层(共47层),2018年建造,华润翡翠城(一期北区),硚口,硚口周边,城华路6号,11593元/㎡,95万
三环边主城区单价9XXX，正地铁口 国企开发 配套齐全,4,2,2,128㎡,南,,,天创黄金时代,汉阳,黄金口,地铁4号线黄金口站B出口东行约500米,8396元/㎡,107万
送60万精装个车位 缺钱急售老证满五唯一 龙阳一号墨水湖公园,3,2,2,137.6㎡,南北,高层(共33层),2016年建造,龙阳1号,汉阳,王家湾,芳草路88号,14899元/㎡,205万
金融港软件园附近，2号线地铁口，朝南满五唯一，急售随时看房,3,2,1,109.45㎡,南,中层(共18层),2009年建造,藏龙星天地,江夏,藏龙岛,九凤街16号,11027元/㎡,121万
汉阳主城区，黄金口地铁站，总高六楼的小高层洋房，58团购折扣,3,2,2,118㎡,南,,,天创黄金时代,汉阳,黄金口,地铁4号线黄金口站B出口东行约500米,9107元/㎡,107万
摩尔城旁  王家湾产商圈 三号线四号线 配套成熟 环境好,3,2,2,123.35㎡,南北,中层(共48层),2018年建造,人信汇天誉,汉阳,王家湾,龙阳大道62号,14073元/㎡,174万
捡漏好房 居家精装修 111平 3室2厅 南北通透 急售,3,2,1,111.13㎡,南北,低层(共34层),2016年建造,清江锦城玺园,洪山,白沙洲,烽胜路55号,12273元/㎡,136万
国博新城 95110平三房出售小高层公摊17,3,2,2,95㎡,南北,,,城投融创国博城,汉阳,四新,四新南路与鄂渚路交汇处,13661元/㎡,130万
近轻轨站 华发都荟天地旁 次新小区 电梯通透3房 双卫,3,2,2,137.84㎡,南北,中层(共28层),2019年建造,辛鑫绣城,硚口,古田,古田路57号,8996元/㎡,124万
武昌徐东内环   三开间朝南 2梯2户 采光好 拎包入住,3,2,2,139.01㎡,南,低层(共24层),2012年建造,爱家国际华城,洪山,铁机路,团结大道1026号,13083元/㎡,182万
福星二期 中间楼层，精装老证未入住 性价比高诚心卖,3,2,1,97.66㎡,南,中层(共54层),2013年建造,福星华府誉境,江汉,杨汊湖,姑嫂树路99号,15236元/㎡,149万
地铁口70年别墅  送地下室花园  金地品质 得房率高,4,2,3,137㎡,南北,,,金地国际城,汉阳,黄金口,黄金口地铁站A出口西行200米处,9050元/㎡,124万
劲爆价 直降50万 捡漏 好楼层 一梯两户 业主急卖去外地,3,2,1,129.13㎡,南,中层(共6层),2007年建造,汉口春天,硚口,古田,解放大道109号,10114元/㎡,131万
（新上好房）地铁口 水墨清华 南北通透 芳草二桥 一线湖景,3,2,2,104.53㎡,南北,高层(共22层),2013年建造,水墨清华,汉阳,王家湾,芳草路61号,14946元/㎡,156万
古田唯一自带幼儿园小学中学高端改善刚需精装现房,3,2,2,108㎡,南北,,,绿城华生桂语朝阳(新房),硚口,古田,园博大道与古田一路交汇处,13624元/㎡,147万
满二（有钥匙）可随时看房子业主诚心卖清江锦城三期双天街双地铁,3,2,1,105.12㎡,南北,中层(共34层),2019年建造,清能清江锦城(三期),洪山,白沙洲,白沙四路62号,12975元/㎡,136万
武汉捡漏第一急售住万科  菱角湖公园地铁口 万象城 新华医院,3,2,1,96㎡,南,中层(共41层),2019年建造,万科金域时代,江汉,北湖,台北路295号,16102元/㎡,155万
联投悦西湖湖景三大三房 格局创新 低公摊高使用,3,2,2,100㎡,南,,,联投悦西湖,洪山,光谷东,花山春和路白石美术馆旁50米,13804元/㎡,138万
正南 3室2厅 精装修,3,2,2,116.47㎡,南,高层(共33层),2016年建造,江山如画(6期),硚口,武胜路,汉中路76号,19730元/㎡,230万
金银潭地铁口 永旺旁 南北通透两房 自带常青树 凤凰楼层,2,2,1,95.86㎡,南,高层(共28层),2006年建造,常青花园五小区,东西湖,常青花园,学府北路111号,15522元/㎡,149万
光谷主城区  地铁口  准现房,3,2,2,117.74㎡,南北,,,伟鹏硅谷小镇一期,洪山,光谷东,未来三路和科技三路交汇处,11093元/㎡,131万
3室2厅 企业力荐好房诚意出售,3,2,1,108.83㎡,东,中层(共33层),2018年建造,万科翡翠玖玺,沌口开发区,郭徐岭广场,太子湖路,16711元/㎡,182万
和昌森林湖 精装修 满二 2室2厅 楼层好 视野无遮挡！！！,2,2,1,90.16㎡,西,低层(共33层),2016年建造,和昌森林湖,汉阳,四新,芳草西路,14670元/㎡,132万
左岭地铁口硅谷小镇先仅11500最后五套,3,2,2,107㎡,南北,,,伟鹏硅谷小镇一期,洪山,光谷东,未来三路和科技三路交汇处,11124元/㎡,119万
中建南湖壹号 南北通透采光好双阳台 精装大三房 满二年街道口,3,2,2,131.04㎡,南北,低层(共34层),2015年建造,中建南湖壹号,洪山,街道口,文荟路78号,17663元/㎡,231万
世茂5期，急售，老证，中高层，精装，视野好，江景房,3,1,1,90.39㎡,南,高层(共57层),2006年建造,世茂锦绣长江5期,汉阳,钟家村,滨江大道193号,18198元/㎡,164万
地铁口（保利新武昌旁） 满二  保利上城 南北通透,3,2,2,117.6㎡,南北,高层(共38层),2018年建造,保利上城西区,洪山,白沙洲,峰胜路20号,13917元/㎡,164万
总价110W 高层价格买别墅 送花园送地下室 送车位,2,2,2,123㎡,南北,,,中粮祥云地铁小镇(新房),蔡甸,蔡甸周边,蔡甸大街与西环路交汇处（地铁四号线新庙村站A出口）,10081元/㎡,124万
南北通透 3室2厅 精装修,3,2,2,116.52㎡,南北,低层(共45层),2018年建造,东原启城(一期),洪山,白沙洲,烽胜路66号,12628元/㎡,147万
武湖长江新区高车地铁口汉北大全景精装三房 即买即住 随时看房,3,2,1,92.85㎡,南北,高层(共18层),2014年建造,汉北大全景,黄陂,武湖,汉口北大道,6944元/㎡,64万
汉阳  2环 一线临江 准现房 总价140万,2,2,1,82.29㎡,南,,,新港临江汇,汉阳,建港,晴川大道与芳洲路交汇处,14867元/㎡,122万
招商一江璟城稀有小三房，中间楼层满二税少，有钥匙方便看房,3,2,1,96.71㎡,南,低层(共56层),2020年建造,招商一江璟城(北区),青山,红钢城,建设六路5号,15813元/㎡,153万
正南 3室2厅 精装修,3,2,1,103.94㎡,南,高层(共47层),2021年建造,汇悦天地(三期),江岸,后湖,和谐大道596号,14475元/㎡,150万
汉阳琴台大道江景住宅 3室2厅2卫 102m 约199万,3,2,2,102㎡,南,,,新世界汉江·云赫,硚口,古田,知音大道588号,16127元/㎡,164万
正南 3室2厅 精装修,3,2,1,101.4㎡,南,高层(共44层),2019年建造,御江壹品青山印,青山,建设二路,建设二路9号,19157元/㎡,194万
满二   正南 3室2厅 精装修,3,2,2,104.47㎡,南,中层(共55层),2015年建造,复地海上海,汉阳,鹦鹉,建港路1号,18911元/㎡,198万
单价1万3起步主城区准现房,3,2,2,113㎡,南北,,,龙湖揽境,硚口,古田,长丰大道与古田二路交汇处,12436元/㎡,141万
王家湾核心商圈 地铁口 一线看湖 前后无遮挡 老证,3,2,1,106.9㎡,南北,中层(共30层),2017年建造,王家湾中央生活区,汉阳,王家湾,汉阳大道,12991元/㎡,139万
正南 2室2厅 精装修,2,2,1,80.18㎡,南,低层(共46层),2015年建造,中建开元公馆,青山,建设二路,建设二路11号,15980元/㎡,128万
超大阳台 全房明亮 开发商直降 性价比高,3,2,2,120㎡,南北,,,龙湖揽境,硚口,古田,长丰大道与古田二路交汇处,12399元/㎡,149万
急卖满二 7号线 永旺旁 江南新天地 106平3房2厅2卫,3,2,2,106.98㎡,南北,低层(共33层),2019年建造,江夏江南新天地,江夏,文化大道,文化大道36号,10586元/㎡,113万
正南 3室2厅 精装修,3,2,2,97.28㎡,南,低层(共45层),2019年建造,保利新武昌,洪山,白沙洲,张家湾路8号,14275元/㎡,139万
电梯房 王家湾中央生活区 112平 3室2厅 南北通透 居家,3,2,2,112.75㎡,南北,高层(共30层),2015年建造,王家湾中央生活区,汉阳,王家湾,汉阳大道,13197元/㎡,149万
东湖边 央企核心C位 天花板级别大盘   新房侨城欢乐天际,3,2,2,122㎡,南北,,,华侨城欢乐天际(新房),青山,余家头,团结大道地铁4号线工业四路站B出口（华侨城杉·艺术空间）,15245元/㎡,186万
正南 3室2厅 精装修,3,2,1,111.01㎡,南,高层(共6层),2002年建造,江南家园,洪山,光谷软件园,南湖南路8号,14148元/㎡,157万
四新广电兰亭时代，经典三房，精装全配，不靠三环高架。,3,2,1,90.54㎡,南,高层(共33层),2015年建造,广电兰亭时代(1期),汉阳,四新,四新南路,12782元/㎡,116万
神盘大嫂送大哥马尔代夫的豪装楼下就是摩尔城看湖,3,2,2,125㎡,南,,,中国铁建花语汀澜,汉阳,王家湾,玉龙路与墨水湖北路交汇处,15276元/㎡,191万
歌林花园 27号线地铁口 90平2室2厅  满二  有钥匙,2,2,1,90.99㎡,南北,中层(共18层),2012年建造,歌林花园,黄陂,盘龙城,巨龙大道159号,6996元/㎡,64万
观庭金色世家(B区) 3室2厅 123平 电梯房 南北通透,3,2,2,123.74㎡,南北,低层(共32层),2013年建造,观庭金色世家(B区),洪山,白沙洲,白沙五路2号,8217元/㎡,102万
三环内王炸楼盘单价14000中字头央企开发,3,2,1,99㎡,南北,,,中国铁建·花语天著,江岸,百步亭,新区大道与游湖二路交汇处,12274元/㎡,122万
江北快速路口 轻轨旁 65W精装修 好楼层三房,3,2,1,97.72㎡,南,中层(共31层),2016年建造,阳光新港中央花园城,新洲,阳逻开发区,余泊南路,5499元/㎡,54万
正南 3室2厅 企业力荐好房诚意出售,3,2,1,105.91㎡,南,中层(共7层),1998年建造,双塘小区,洪山,光谷广场,虎泉街,13503元/㎡,143万
下楼地铁口 绿道另外可以上于武昌区第一梯队,3,2,2,111㎡,南北,,,东湖ONE,洪山,欢乐谷,团结大道1068号（园林路E出口/金地广场对面）,17798元/㎡,198万
业主急售 满五唯一 4房2厅2卫3阳台 见面价格可谈,4,2,2,136.5㎡,南北,中层(共33层),2015年建造,星悦城(四期),江岸,后湖,春兰街66号,15685元/㎡,214万
开发商装修海尔国际91平143万精装2室南北通透拎包入住,2,2,1,91.49㎡,南北,高层(共46层),2018年建造,海尔国际广场,硚口,古田,古田二路98号,12559元/㎡,115万
华发以国企实力，兑现有保障,3,2,2,101㎡,南,,,华发都荟天地,硚口,古田,古田二路轻轨站旁100米,15714元/㎡,159万
满二唯一 正南 3室2厅 精装修,3,2,1,86.21㎡,南,低层(共32层),2013年建造,大华铂金华府,青山,余家头,园林路25号,15725元/㎡,136万
保利上城 正地铁口 精装三房 产证满二 南北通透,3,2,1,84㎡,南北,低层(共34层),2018年建造,保利上城东区,洪山,白沙洲,烽胜路20号,12793元/㎡,107万
金地自在城旁 次新小区 正地铁口！,3,2,1,92.1㎡,南北,低层(共33层),2017年建造,福星惠誉仁和公馆,洪山,欢乐谷,仁和路205号,11219元/㎡,103万
徐东内环刚需小两室 央企保利开发 年底交房,2,2,1,75㎡,南北,,,保利城七期云廷,洪山,铁机路,北洋桥西路与铁机东路交汇处,16532元/㎡,124万
老证 万科金域蓝湾 3室2厅1卫 156万 90平 随时看房,3,2,1,89.66㎡,南,低层(共34层),2018年建造,万科金域蓝湾,沌口开发区,江汉大学,三角湖路8号,14383元/㎡,129万
武昌徐东内环   三开间朝南 2梯2户 采光好 拎包入住,3,2,2,139.01㎡,南,低层(共24层),2012年建造,爱家国际华城,洪山,铁机路,团结大道1026号,13083元/㎡,182万
三室两厅两卫，全屋精装修，万科大牌,3,2,2,102㎡,南北,,,万科华生公园大道(新房),硚口,古田,园博大道(蓝光林肯公园西侧约100米),13696元/㎡,140万
正南 3室2厅 精装修,3,2,1,94.15㎡,南,高层(共33层),2018年建造,天纵城,黄陂,盘龙城,盘龙一路,9096元/㎡,85万
正南 3室2厅 精装修,3,2,2,102.9㎡,南,高层(共14层),2019年建造,尚璟瑞府(一期),黄陂,盘龙城,航城东路16号,7712元/㎡,79万
招商未来中心 地铁口 国企开发 均价1.5 专业配盘 包接送,3,2,2,100㎡,南,,,招商·武汉城建未来中心,沌口开发区,体育中心,沌阳大道与体育路交汇处（协和医院西院对面）,14466元/㎡,145万
正南 3室2厅 企业力荐好房诚意出售,3,2,1,102.17㎡,南,低层(共38层),2019年建造,大华铂金瑞府,青山,余家头,园林路15号,16586元/㎡,169万
地铁7号线，常青树旁边，奥特莱斯商圈，南北通透双阳台可观湖！,3,2,1,109.25㎡,南,中层(共33层),2016年建造,恒达盘龙湾荷苑,黄陂,盘龙城,盘龙大道48号,6962元/㎡,76万
总价130多万买汉阳二环央企开发正地铁口精装现房120边户,3,2,2,123㎡,南,,,保利星河九洲,汉阳,升官渡,永安堂地铁站旁100米,11761元/㎡,145万
世茂5期，急售，老证，中高层，精装，视野好，江景房,3,1,1,90.39㎡,南,高层(共57层),2006年建造,世茂锦绣长江5期,汉阳,钟家村,滨江大道193号,18198元/㎡,164万
广益天下(南区) 满二 87平 南北通透 2室2厅 楼层好,2,2,1,87.09㎡,南北,中层(共25层),2012年建造,广益天下(南区),江汉,前进/江汉,民权路146号,17085元/㎡,149万
汉阳中心片区 精装入住 交房又保障,3,2,2,110㎡,南,,,王家湾中央生活区湾玺,汉阳,升官渡,汉阳大道与玉龙路交汇处,15705元/㎡,173万
新上必看好房！老证自住30W婚装 采光无遮挡 诚心置换可议价,3,2,2,120.27㎡,南北,低层(共40层),2018年建造,钰龙旭辉半岛一期,汉阳,七里庙,麒麟路1号,12921元/㎡,155万
地铁三号线精装3室2厅1卫150万元急售,3,2,1,92㎡,南,低层(共33层),2017年建造,绿地悦澜湾,汉阳,四新,四新北路601号,13478元/㎡,124万
正南 2室2厅 精装修,2,2,1,93.59㎡,南,高层(共22层),2005年建造,新华家园,江汉,杨汊湖,姑嫂树路11号,12895元/㎡,121万
七里庙地铁口南北通通 户型明厨明卫准现房,3,2,2,106㎡,南,,,尚城国际,汉阳,五里墩,七里庙地铁站b出口，汉阳大道580号,13647元/㎡,145万
出门地铁口  老证 不临街 无遮挡 精装两房  中高楼层,2,2,1,82.93㎡,南,中层(共32层),2011年建造,幸福时代(一二期),江岸,百步亭,后湖大道335号,13855元/㎡,115万
正南 3室2厅 精装修,3,2,1,93.92㎡,南,高层(共33层),2019年建造,理公馆,洪山,街道口,雄楚大道225号,20683元/㎡,194万
四新地铁口国企毛坯准现房 新房团购价,3,2,2,105㎡,南北,,,海格公馆(新房),汉阳,四新,四新中路与四新南路交汇处,14170元/㎡,149万
