标题,室数,厅数,卫数,面积,朝向,建造时间,小区,行政区,街道,门牌号,单价,总价,楼层所属区域
徐东内环刚需小两室 央企保利开发 年底交房,2,2,1,75,南北,2014,保利城七期云廷,洪山,铁机路,北洋桥西路与铁机东路交汇处,16532,124,高层
华发以国企实力，兑现有保障,3,2,2,101,南,2014,华发都荟天地,硚口,古田,古田二路轻轨站旁100米,15714,159,高层
招商未来中心 地铁口 国企开发 均价1.5 专业配盘 包接送,3,2,2,100,南,2014,招商·武汉城建未来中心,沌口开发区,体育中心,沌阳大道与体育路交汇处（协和医院西院对面）,14466,145,高层
东湖边 央企核心C位 天花板级别大盘   新房侨城欢乐天际,3,2,2,122,南北,2014,华侨城欢乐天际(新房),青山,余家头,团结大道地铁4号线工业四路站B出口（华侨城杉·艺术空间）,15245,186,高层
三环内王炸楼盘单价14000中字头央企开发,3,2,1,99,南北,2014,中国铁建·花语天著,江岸,百步亭,新区大道与游湖二路交汇处,12274,122,高层
汉阳中心片区 精装入住 交房又保障,3,2,2,110,南,2014,王家湾中央生活区湾玺,汉阳,升官渡,汉阳大道与玉龙路交汇处,15705,173,高层
新房首发 多面积 多价格 多楼层 多户型随便选 免费看房,3,2,2,108.35,南北,2014,方岛金茂智慧科学城(新房),汉阳,升官渡,芳草路与四新大道交叉口,15716,170,高层
国博新城 95110平三房出售小高层公摊17,3,2,2,95,南北,2014,城投融创国博城,汉阳,四新,四新南路与鄂渚路交汇处,13661,130,高层
汉口二环一号线轻轨口千禧城旁国企现房单价1.3送车位20上车,2,2,1,86,南北,2014,武汉城建汉樾台,硚口,古田,古田四路与长安路交叉口西侧（湖北警官学院北区旁）,13937,120,高层
三室两厅两卫，全屋精装修，万科大牌,3,2,2,102,南北,2014,万科华生公园大道(新房),硚口,古田,园博大道(蓝光林肯公园西侧约100米),13696,140,高层
超大阳台 全房明亮 开发商直降 性价比高,3,2,2,120,南北,2014,龙湖揽境,硚口,古田,长丰大道与古田二路交汇处,12399,149,高层
汉阳三环内双地铁单价14500精装交付准现房,3,2,2,98,南,2014,禹洲新希望雍禧兰台(新房),汉阳,四新,四新南路与新华园二路交汇处,12399,122,高层
单价1万3起步主城区准现房,3,2,2,113,南北,2014,龙湖揽境,硚口,古田,长丰大道与古田二路交汇处,12436,141,高层
四新地铁口国企毛坯准现房 新房团购价,3,2,2,105,南北,2014,海格公馆(新房),汉阳,四新,四新中路与四新南路交汇处,14170,149,高层
汉阳琴台大道江景住宅 3室2厅2卫 102m 约199万,3,2,2,102,南,2014,新世界汉江·云赫,硚口,古田,知音大道588号,16127,164,高层
旭辉大盘 老汉阳政务中心旁 墨水湖一线湖景,3,2,2,115,南北,2014,钰龙旭辉半岛·和岸,汉阳,七里庙,麒麟路与百灵路交汇处,15742,181,高层
神盘大嫂送大哥马尔代夫的豪装楼下就是摩尔城看湖,3,2,2,125,南,2014,中国铁建花语汀澜,汉阳,王家湾,玉龙路与墨水湖北路交汇处,15276,191,高层
下楼地铁口 绿道另外可以上于武昌区第一梯队,3,2,2,111,南北,2014,东湖ONE,洪山,欢乐谷,团结大道1068号（园林路E出口/金地广场对面）,17798,198,高层
三环边主城区单价9XXX，正地铁口 国企开发 配套齐全,4,2,2,128,南,2014,天创黄金时代,汉阳,黄金口,地铁4号线黄金口站B出口东行约500米,8396,107,高层
总价110W 高层价格买别墅 送花园送地下室 送车位,2,2,2,123,南北,2014,中粮祥云地铁小镇(新房),蔡甸,蔡甸周边,蔡甸大街与西环路交汇处（地铁四号线新庙村站A出口）,10081,124,高层
保利庭瑞阅江台滨江新品     3室2厅2卫 130m,3,2,2,130,南,2014,保利庭瑞阅江台·滨江新品,硚口,古田,琴台大道与玉龙路交汇处,16532,215,高层
